0,168,168,0.8,0
1,162,398,0.8,13.3
2,155,642,0.8,18
3,150,688,0.8,22.9
4,144,694,0.8,26
5,138,702,0.8,27.8
6,134,707,0.8,29
7,128,706,0.8,29.8
8,126,714,0.8,30.4
9,120,718,0.8,30.9
10,114,724,0.8,31.4
11,106,733,0.8,31.9
12,99,739,0.8,32.6
13,93,745,0.8,33.2
14,86,751,0.8,33.8
15,84,753,0.8,34.4
16,75,758,0.8,34.8
17,68,772,0.8,35.4
18,62,772,0.8,36.1
19,56,777,0.8,36.7
20,52,774,0.8,37.2
21,44,782,0.8,37.6
22,43,786,0.8,38.2
23,40,789,0.8,38.6
24,30,794,0.8,38.9
25,26,720,0.8,39.5
26,38,490,0.8,39.2
27,64,395,0.8,36.4
28,80,508,0.8,33.2
29,86,615,0.8,32
30,86,684,0.8,32.2
31,87,714,0.8,33
32,86,727,0.8,33.6
33,83,735,0.8,34.1
34,82,736,0.8,34.5
35,80,730,0.8,34.8
36,81,734,0.8,35
37,81,733,0.8,35
38,79,730,0.8,35.1
39,79,725,0.8,35.1
40,77,730,0.8,35.1
41,77,725,0.8,35.2
42,77,723,0.8,35.2
43,76,722,0.8,35.2
44,74,720,0.8,35.2
45,73,724,0.8,35.3
46,73,719,0.8,35.4
47,72,724,0.8,35.4
48,72,723,0.8,35.5
49,72,719,0.8,35.5
50,67,707,0.8,35.5
51,47,704,0.8,35.6
52,31,670,0.8,36.3
53,21,601,0.8,37
54,27,553,0.8,37
55,32,578,0.8,36.4
56,35,615,0.8,36.1
57,38,671,0.8,36.2
58,38,709,0.8,36.7
59,38,743,0.8,37.3
60,38,751,0.8,37.9
61,37,760,0.8,38.3
62,38,753,0.8,38.6
63,38,749,0.8,38.6
64,37,745,0.8,38.6
65,36,740,0.8,38.6
66,36,743,0.8,38.6
67,36,738,0.8,38.6
68,36,728,0.8,38.6
69,36,721,0.8,38.5
70,35,715,0.8,38.4
71,34,713,0.8,38.3
72,34,709,0.8,38.2
73,34,716,0.8,38.2
74,34,715,0.8,38.2
75,33,705,0.8,38.3
76,33,668,0.8,38.2
77,29,626,0.8,37.8
78,25,592,0.8,37.4
79,24,590,0.8,37
80,21,581,0.8,36.8
81,20,591,0.8,36.7
82,20,588,0.8,36.8
83,21,605,0.8,36.9
84,21,640,0.8,37
85,21,690,0.8,37.4
86,21,716,0.8,38.1
87,20,745,0.8,38.7
88,20,760,0.8,39.3
89,20,770,0.8,39.7
